Ware Type,File_Delete_archived,File_created,File_creation_time_changed,Pipe_Created,Process_Create,Registry_value_set,process-related,network-related,file-related,suspicious_path,system_executable,path_length,directory_depth,process_name_length,process_vs_parent_freq_ratio,executable_depth_diff,parent_is_system_executable,extension_similarity,file_name_entropy
good,0,1,0,0,0,0,1,0,0,1,0,38,4,10,0.20400575211493865,4,0,0,4.047299098426643
good,0,0,0,0,0,0,0,0,0,1,0,104,11,12,5.182085530321678e-06,11,0,0,0
good,0,1,0,0,0,0,1,0,0,1,0,38,4,10,0.20400575211493865,4,0,0,3.456564762130954
good,0,1,0,0,0,0,1,0,0,1,0,38,4,10,0.20400575211493865,4,0,0,3.700439718141093
good,0,0,0,0,0,0,0,0,0,0,1,144,9,8,4.404772700773426e-05,9,0,0,0
good,0,0,0,0,0,0,0,0,0,1,0,139,19,15,5.182085530321678e-06,19,0,0,0
ransom,0,0,0,0,0,0,1,0,0,1,0,40,5,10,0.062304214,5,0,0,0
good,0,0,0,0,0,0,0,0,0,1,0,77,8,8,5.182085530321678e-06,8,0,0,0
ransom,1,0,0,0,0,0,0,0,1,0,1,31,3,11,0.10048063843293734,3,0,0,3.5032583347756456
good,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.099431266,0,0,1,0
ransom,0,0,0,0,0,1,0,0,1,1,0,170,5,68,0.005835028,5,0,0,0
good,0,1,0,0,0,0,1,0,0,1,0,38,4,10,0.20400575211493865,4,0,0,3.6841837197791887
good,0,1,0,0,0,0,1,0,0,1,0,82,4,54,0.038575445,4,0,0,3.277613436819116
good,0,0,0,0,0,0,0,0,0,1,0,87,10,18,2.0728342121286713e-05,10,0,0,0
ransom,1,0,0,0,0,0,0,0,1,0,1,31,3,11,0.10048063843293734,3,0,0,3.5
good,0,0,0,0,0,0,0,0,0,1,0,78,6,12,0.013488968635427328,6,0,0,0
ransom,0,1,0,0,0,0,1,0,0,1,0,170,5,68,0.005835028,5,0,0,3.277613436819116
ransom,0,1,0,0,0,0,1,0,0,0,1,31,3,11,0.10048063843293734,3,0,0,3.983006780520075
good,0,1,0,0,0,0,1,0,0,1,0,38,4,10,0.20400575211493865,4,0,0,4.197325708706505
good,0,0,0,0,0,0,0,0,0,0,1,122,8,37,0.001513169,8,0,0,0
good,0,0,0,0,0,0,0,0,0,0,1,127,8,42,0.001756727,8,0,0,0
ransom,0,0,0,0,0,1,0,0,1,0,1,31,3,11,0.10048063843293734,3,0,0,0
ransom,0,1,0,0,0,0,1,0,0,0,1,31,3,11,0.10048063843293734,3,0,0,2.725480556997868
good,0,1,0,0,0,0,1,0,0,1,0,82,4,54,0.038575445,4,0,0,2.521640636343319
good,0,0,0,0,0,0,0,0,0,0,1,143,6,42,1.8137299356125872e-05,6,0,0,0
good,0,1,0,0,0,0,1,0,0,1,0,38,4,10,0.20400575211493865,4,0,0,3
good,0,1,0,0,0,0,1,0,0,1,0,38,4,10,0.20400575211493865,4,0,0,2.9477027792200907
good,0,0,0,0,0,0,0,0,0,1,0,97,8,30,5.182085530321678e-06,8,0,0,0
good,0,1,0,0,0,0,1,0,0,1,0,38,4,10,0.20400575211493865,4,0,0,2.75
good,0,0,0,0,0,0,0,0,0,1,0,69,7,10,0.000168418,7,0,0,0
good,0,1,0,0,0,0,1,0,0,1,0,38,4,10,0.20400575211493865,4,0,0,4.140319531114783
ransom,0,0,0,0,0,0,0,0,1,0,1,31,3,11,0.10048063843293734,3,0,0,0
good,0,0,0,0,0,0,0,0,0,1,0,118,14,8,5.182085530321678e-06,14,0,0,0
good,0,1,0,0,0,0,1,0,0,1,0,38,4,10,0.20400575211493865,4,0,0,3.238901256602631
good,0,0,0,0,0,0,0,0,0,1,0,229,14,52,2.331938488644755e-05,14,0,0,0
good,0,0,0,0,0,0,0,0,0,0,1,100,5,32,2.591042765160839e-06,5,0,0,0
ransom,0,0,0,0,0,1,0,0,1,0,1,89,6,18,0.013626293901980852,6,0,0,0
good,0,1,0,0,0,0,1,0,0,1,0,38,4,10,0.20400575211493865,4,0,0,3.521640636343318
good,0,0,0,0,0,0,0,0,0,1,0,88,10,19,1.0364171060643357e-05,10,0,0,0
ransom,0,0,0,0,0,0,0,0,1,0,1,32,3,12,0.004754563,3,0,0,2.75
ransom,0,0,0,0,0,1,0,0,1,0,1,105,4,27,0.000129552,4,0,0,0
good,0,1,0,0,0,0,1,0,0,1,0,38,4,10,0.20400575211493865,4,0,0,3.813660689688186
ransom,0,0,0,1,0,0,1,0,0,0,1,89,6,18,0.013626293901980852,6,0,0,3.942862165155468
good,0,1,0,0,0,0,1,0,0,1,0,82,4,54,0.038575445,4,0,0,3.572469458770136
good,0,0,0,0,0,0,0,0,0,1,0,72,9,15,2.850147041676923e-05,9,0,0,0
ransom,0,1,0,0,0,0,1,0,0,1,0,40,5,10,0.062304214,5,0,0,3.8796640049025943
good,0,1,0,0,0,0,1,0,0,1,0,38,4,10,0.20400575211493865,4,0,0,4.001822826
good,0,0,0,0,0,0,0,0,0,1,0,127,13,11,0.003332081,13,0,0,0
ransom,0,1,0,0,0,0,1,0,0,0,1,31,3,11,0.10048063843293734,3,0,0,3.7150182662886326
ransom,0,0,0,1,0,0,1,0,0,0,1,89,6,18,0.013626293901980852,6,0,0,3.905704801556653
good,0,0,0,0,0,0,0,0,0,1,0,120,14,8,5.182085530321678e-06,14,0,0,0
good,0,1,0,0,0,0,1,0,0,1,0,38,4,10,0.20400575211493865,4,0,0,4.001629167387824
good,0,0,1,0,0,0,0,0,1,1,0,56,7,8,0.020116856028708753,7,0,0,2.9477027792200907
good,0,0,0,0,0,0,0,0,0,1,0,134,14,13,8.032232571998601e-05,14,0,0,0
good,0,0,0,0,0,0,0,0,0,1,0,87,10,16,1.0364171060643357e-05,10,0,0,0
ransom,0,1,0,0,0,0,1,0,0,1,0,170,5,68,0.004964438,5,0,0,4.561076880026373
ransom,1,0,0,0,0,0,0,0,1,0,1,31,3,11,0.10048063843293734,3,0,0,3.640223928941852
good,0,0,0,0,0,0,0,0,0,1,0,126,11,14,0.000240967,11,0,0,0
good,0,1,0,0,0,0,1,0,0,1,0,38,4,10,0.20400575211493865,4,0,0,2.5503407095463886
good,0,1,0,0,0,0,1,0,0,1,0,38,4,10,0.20400575211493865,4,0,0,4.093069208
good,0,0,0,0,0,0,0,0,0,1,0,44,4,16,5.182085530321678e-06,4,0,0,0
ransom,0,1,0,0,0,0,1,0,0,0,1,31,3,11,0.10048063843293734,3,0,0,4.225185279715571
good,0,0,0,0,0,0,0,0,0,1,0,86,10,18,2.850147041676923e-05,10,0,0,0
good,0,0,0,0,0,0,0,0,0,0,1,157,7,34,2.591042765160839e-06,7,0,0,0
good,0,0,0,0,0,0,0,0,0,1,0,77,7,18,9.068649678062936e-05,7,0,0,0
good,0,0,0,0,0,0,0,0,0,1,0,141,10,36,7.773128295482517e-06,10,0,0,0
good,0,0,0,0,0,0,0,0,0,1,0,89,9,6,1.5546256590965035e-05,9,0,1,0
good,0,1,0,0,0,0,1,0,0,1,0,38,4,10,0.20400575211493865,4,0,0,3.321928094887362
good,0,0,0,0,0,0,0,0,0,1,0,107,10,29,5.182085530321678e-06,10,0,0,0
good,0,0,0,0,0,0,0,0,0,0,1,112,8,27,0.001461348,8,0,0,0
good,0,0,0,0,0,0,0,0,0,1,0,125,13,19,5.182085530321678e-06,13,0,0,0
good,0,0,0,0,0,0,0,0,0,1,0,87,8,19,0.000132143,8,0,0,0
good,0,1,0,0,0,0,1,0,0,1,0,38,4,10,0.20400575211493865,4,0,0,3.8219280948873617
good,0,0,0,0,0,0,0,0,1,1,0,63,7,12,0.003117024,7,0,0,3.702819531114783
good,0,1,0,0,0,0,1,0,0,1,0,38,4,10,0.20400575211493865,4,0,0,4.023465189601646
good,0,1,0,0,0,0,1,0,0,1,0,82,4,54,0.038575445,4,0,0,2.4193819456463714
good,0,0,1,0,0,0,0,0,1,1,0,82,4,54,0.038575445,4,0,0,3.6978458230844127
good,0,0,0,0,0,0,0,0,0,0,1,166,8,35,2.591042765160839e-06,8,0,0,0
good,0,1,0,0,0,0,1,0,0,1,0,82,4,54,0.038575445,4,0,0,3.095795255000934
good,0,1,0,0,0,0,1,0,0,0,1,60,5,12,0.000709946,5,0,0,3.5070488277869583
good,0,0,0,0,0,0,0,0,0,1,0,117,11,22,5.182085530321678e-06,11,0,0,0
good,0,0,0,0,0,0,0,0,0,1,1,94,6,35,2.591042765160839e-06,6,0,0,0
good,0,0,0,0,0,0,0,0,0,0,1,148,6,43,2.591042765160839e-06,6,0,0,0
good,0,0,0,0,0,0,0,0,0,1,0,89,10,9,1.0364171060643357e-05,10,0,0,0
good,0,0,0,0,0,0,0,0,0,0,1,149,6,44,2.591042765160839e-06,6,0,0,0
ransom,1,0,0,0,0,0,0,0,1,0,1,31,3,11,0.10048063843293734,3,0,0,3
good,0,0,0,0,0,0,0,0,0,1,1,76,6,17,0.000489707,6,0,0,0
good,0,0,0,0,0,0,0,0,0,1,0,141,11,21,0.000259104,11,0,0,0
ransom,1,0,0,0,0,0,0,0,1,0,1,31,3,11,0.10048063843293734,3,0,0,3.431623565847431
ransom,1,0,0,0,0,0,0,0,1,1,0,86,8,17,0.012188265167316586,8,0,0,3.1820058147602137
good,0,0,0,0,0,0,0,0,0,1,0,118,11,7,0.000225421,11,0,0,0
good,0,0,0,0,0,0,0,0,0,0,1,148,7,24,0.000528573,7,0,0,0
ransom,0,0,0,0,1,0,1,0,0,0,1,32,3,12,2.012061403508772,0,1,1,0
ransom,0,1,0,0,0,0,1,0,0,1,0,40,5,10,0.062304214,5,0,0,4.215061012
ransom,1,0,0,0,0,0,0,0,1,0,1,31,3,11,0.10048063843293734,3,0,0,3.121928094887363
good,0,0,0,0,0,0,0,0,0,1,0,82,8,14,8.291336848514685e-05,8,0,0,0
good,0,0,0,0,0,0,0,0,0,0,0,125,5,47,5.182085530321678e-06,5,0,0,0
good,0,1,0,0,0,0,1,0,0,1,0,82,4,54,0.038575445,4,0,0,3.3787834934861762
good,0,0,0,0,0,0,0,0,0,1,0,76,9,11,1.0364171060643357e-05,9,0,0,0
good,0,0,0,0,0,0,0,0,0,1,0,101,6,53,4.922981253805594e-05,6,0,0,0
good,0,0,0,0,0,0,0,0,0,1,0,113,13,17,1.0364171060643357e-05,13,0,0,0
good,0,0,0,0,0,0,0,0,0,1,0,83,9,13,5.182085530321678e-06,9,0,0,0
good,0,0,0,0,0,0,0,0,0,1,0,75,9,9,1.5546256590965035e-05,9,0,0,0
good,0,0,0,0,0,0,0,0,0,0,1,102,8,17,0.001842231,8,0,0,0
ransom,0,1,0,0,0,0,1,0,0,0,1,31,3,11,0.10048063843293734,3,0,0,3.725035767247771
good,0,0,0,0,0,0,0,0,0,0,1,90,5,32,2.591042765160839e-06,5,0,0,0
good,0,0,0,0,0,0,0,0,0,1,0,68,7,8,5.182085530321678e-06,7,0,0,0
